	Polymer	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	X	Y	Z	A1	B1	C1	D1	E1	F1	G1	L1
Solvent																																		
Acetic Acid		1.0	6.0	2.0	4.0	2.0	1.0	6.0	1.0	1.0	1	6	3.0	1.0	4.0	4.0	1.0	4.0	1.0	1	6.0	6.0	6.0	6.0	6.0	3.0	4.0	1.0	6.0	1.0	6.0	6.0	5.0	4
Acetic Anhydride		1.0	5.0	1.0	3.0	2.0	5.0	6.0	1.0	1.0	1	6	1.0	1.0	1.0	5.0	1.0	4.0	1.0	1	6.0	2.0	6.0	6.0	6.0	6.0	5.0	1.0	5.0	1.0	5.0	6.0	5.0	5
Acetone		1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	6.0	1	3	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1	6.0	1.0	6.0	6.0	6.0	6.0	1.0	1.0	6.0	1.0	6.0	5.0	2.0	5
Acetonitrile		1.0	6.0	1.0	6.0	5.0	5.0	4.0	1.0	6.0	1	6	4.0	1.0	5.0	5.0	6.0	5.0	2.0	1	6.0	5.0	6.0	6.0	6.0	6.0	4.0	1.0	6.0	4.0	6.0	6.0	5.0	6
Acetophenone		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1.0	1.0	5.0	5.0	2.0	6.0	1.0	1.0	5.0	1.0	5.0	2.0	1.0	4
Aniline		1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3	1	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1	6.0	1.0	6.0	6.0	6.0	5.0	1.0	1.0	6.0	1.0	6.0	3.0	1.0	1
Benzaldehyde		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1	2.0	1.0	5.0	5.0	4.0	3.0	1.0	1.0	5.0	1.0	4.0	1.0	1.0	3
Benzene		1.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	6	1	6.0	1.0	6.0	1.0	6.0	6.0	1.0	2	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	4.0	1.0	5.0	1.0	5
1-Bromonaphthalene		1.0	6.0	2.0	1.0	1.0	1.0	1.0	1.0	6.0	6	1	6.0	1.0	6.0	1.0	6.0	6.0	1.0	4	1.0	1.0	1.0	5.0	1.0	6.0	1.0	1.0	1.0	5.0	1.0	4.0	1.0	4
1,3-Butanediol		5.0	6.0	5.0	5.0	4.0	6.0	6.0	6.0	5.0	6	6	6.0	6.0	1.0	6.0	1.0	4.0	6.0	1	5.0	5.0	6.0	6.0	6.0	6.0	6.0	1.0	6.0	6.0	6.0	6.0	6.0	6
1-Butanol		5.0	6.0	3.0	5.0	1.0	1.0	6.0	5.0	1.0	6	6	6.0	1.0	1.0	1.0	1.0	6.0	4.0	3	6.0	6.0	6.0	1.0	5.0	1.0	3.0	1.0	6.0	4.0	6.0	6.0	6.0	6
n-Butyl Acetate		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	1	1	6.0	1.0	6.0	1.0	1.0	6.0	1.0	1	1.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	2.0	2.0	5.0	1.0	6
n-Butyl Lactate		1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1	1	6.0	1.0	1.0	1.0	1.0	3.0	1.0	1	6.0	1.0	6.0	5.0	6.0	3.0	1.0	1.0	6.0	1.0	6.0	6.0	6.0	1
Butyric Acid		1.0	6.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	6	6	6.0	1.0	6.0	1.0	1.0	6.0	1.0	1	4.0	5.0	4.0	1.0	4.0	1.0	1.0	1.0	1.0	3.0	4.0	6.0	1.0	6
Gamma-Butyrolactone		1.0	1.0	1.0	6.0	1.0	3.0	1.0	1.0	3.0	1	3	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1	6.0	1.0	6.0	6.0	6.0	6.0	5.0	1.0	6.0	1.0	6.0	4.0	2.0	1
Butyronitrile		1.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0	5.0	1	3	4.0	1.0	3.0	3.0	4.0	5.0	1.0	1	6.0	1.0	5.0	6.0	6.0	6.0	1.0	1.0	6.0	2.0	6.0	6.0	1.0	5
Carbon Disulfide		4.0	5.0	3.0	1.0	5.0	5.0	1.0	4.0	5.0	6	1	6.0	1.0	6.0	1.0	5.0	4.0	3.0	3	1.0	4.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	6.0	1.0	6.0	1.0	4
Carbon Tetrachloride		1.0	5.0	4.0	1.0	2.0	5.0	1.0	1.0	6.0	6	1	6.0	1.0	6.0	1.0	5.0	6.0	1.0	5	1.0	5.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	4.0	1.0	6.0	1.0	5
Chlorobenzene		1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	6	1	6.0	1.0	6.0	1.0	5.0	6.0	1.0	1	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	3.0	1.0	4.0	1.0	5
1-Chlorobutane		1.0	4.0	2.0	1.0	1.0	4.0	1.0	1.0	3.0	6	1	6.0	1.0	6.0	1.0	3.0	6.0	1.0	3	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	3.0	1.0	6.0	1.0	6
Chloroform		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6	1	3.0	1.0	6.0	1.0	3.0	3.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	6
m-Cresol		3.0	3.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	5	6	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1	5.0	1.0	5.0	1.0	5.0	1.0	1.0	1.0	6.0	1.0	6.0	6.0	1.0	1
Cyclohexane		6.0	6.0	6.0	1.0	6.0	5.0	1.0	4.0	6.0	6	6	6.0	1.0	6.0	1.0	5.0	6.0	5.0	5	1.0	6.0	1.0	1.0	1.0	6.0	2.0	4.0	1.0	6.0	1.0	6.0	2.0	6
Cyclohexanol		5.0	6.0	6.0	1.0	1.0	1.0	6.0	1.0	1.0	6	6	3.0	1.0	6.0	1.0	1.0	5.0	2.0	1	5.0	5.0	5.0	1.0	5.0	1.0	1.0	1.0	5.0	1.0	6.0	6.0	5.0	6
Cyclohexanone		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5
Cyclohexylamine		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			3.0	1.0	1.0	1.0	5.0	6.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	5.0	
Cyclohexylchloride		1.0	3.0	4.0	1.0	1.0	4.0	1.0	5.0	5.0	6	1	6.0	1.0	6.0	1.0	6.0	6.0	1.0	4	1.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	3.0	1.0	5.0	1.0	6
Di-(2-Chloroethyl)ether		1.0	1.0	1.0	1.0	5.0	3.0	1.0	1.0	5.0	5	1	5.0	1.0	6.0	1.0	6.0	5.0	1.0	1	5.0	1.0	6.0	6.0	5.0	6.0	1.0	1.0	4.0	1.0	6.0	5.0	1.0	6
Di-isobutyl Ketone		1.0	3.0	4.0	1.0	1.0	5.0	3.0	5.0	6.0	1	1	6.0	1.0	6.0	1.0	2.0	6.0	1.0	1	1.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	6.0	1.0	6.0	1.0	6
Diacetone Alcohol		1	5	1.1	1.2	1.3	1.4	5.1	1.5	1.6	1.7	3	4	1.8	1.9	1.10	1.11	1.12	1.13	1.14	6	1.15	6.1	6.2	6.3	6.4	3.1	1.16	6.5	1.17	6.6	6.7	5.2	1.18
o-Dichlorobenzene		1	1	2	1	1	1	1	1	2	6	1	6	1	6	1	4	6	1	1	1	1	1	1	1	6	1	1	1	3	1	4	1	4
Diethyl Amine		1	6	1	1	1	1	1	5	4	5	5	6	1	1	1	5	5	1	1	1	1	1	1	1	5	1	1	1	2	1	6	1	5
