TABLE 5.2			
List of Polymers and Resins Studied		CAS	
A	Lucite® 2042-poly (ethyl methacrylate), E. I. du Pont de Nemours & Co., Inc.		https://pt.scribd.com/document/327232411/RESINAS-ACRILICAS-Elvacite-pdf
B	Poly (methyl methacrylate), Rohm and Haas Co.		https://www.dow.com/documents/en-us/productdatasheet/884/884-02323-01-methyl-methacrylate-mma.pdf
C	Epikote® 1001-epoxy, Shell Chemical Co.		https://www.hexion.com/CustomServices/PDFDownloader.aspx?type=tds&pid=9ce3bb3b-5814-6fe3-ae8a-ff0300fcd525
D	Plexal P65-66% oil length alkyd, Polyplex.		
E	Pentalyn® 830-alcohol soluble rosin resin, Hercules Incorporated.		
F	Butvar® B76-poly (vinyl butyral), Shawinigan Resins Co.		
G	Polystyrene LG, Badische Anilin- und Soda Fabrik.		
H	Mowilith® 50-poly (vinyl acetate), Farbwerke Hoechst.		
I	Plastopal H-urea formaldehyde resin, Badische Anilin- und Soda Fabrik.		
J	H Sec. Nitrocellulose-H 23, A. Hagedorn and Co.		
K	Parlon® P10-chlorinated poly (propylene), Hercules Incorporated.		
L	Cellulose acetate, Cellidora A-Bayer AG.		
M	Super Beckacite® 1001-Pure Phenolic Resin, Reichhold Chemicals Co.		
N	Phenodur 373U-phenol-resol resin, Chemische Werke Albert.		
O	Cellolyn 102-modified pentaerythritol ester of rosin, Hercules Incorporated.		
P	Pentalyn 255-alcohol soluble resin, Hercules Incorporated.		
Q	Suprasec F5100-blocked isocyanate (phenol), Imperial Chemical Ind. Ltd.		
R	Plexal C34-34% coconut oil-phthalic anhydride alkyd, Polyplex.		
S	Desmophen 850, Polyester-Farbenfabriken Bayer AG.		
T	Polysar 5630 — styrene-butadiene (SBR) raw elastomer, Polymer Corp.		
U	Hycar® 1052-acrylonitrile-butadiene raw elastomer, B. F. Goodrich Chemical Corp.		
V	Cariflex IR 305-isoprene raw elastomer, Shell Chemical Co.		
X	Lutanol IC/123-poly (isobutylene), Badische Anilin- und Soda Fabrik.		
Y	Buna Huls CB 10-cis poly butadiene raw elastomer, Chemische Werke Huels.		
Z	Versamid® 930-polyamide, General Mills, Inc.		
A	Ester gum BL, Hercules Incorporated.	8050-31-5	https://dokumen.tips/documents/hercules-ester-gum-8bg-glycerol-ester-of-wood-rosin-gum-8bgpdfnumber-4261-1.html
B	Cymel® 300-hexamethoxy melamine, American Cyanamid Co.		
C	Piccolyte® S100-terpene resin, Pennsylvania Industrial Chemical Corp.		
D	Durez® 14383-furfuryl alcohol resin, Hooker Chemical Co.		
E	Piccopale® 110-petroleum hydrocarbon resin, Pennsylvania Industrial Chemical Corp.		
F	Vipla KR-poly (vinyl chloride), K = 50, Montecatini.		
G	Piccoumarone 450L-cumarone-indene resin, Pennsylvania Industrial Chemical Corp.		
L	Milled wood lignin — special sample from Prof. A. Björkman		
